"rep","seed","method","fit_ok","z_med","z_lo","z_hi","width","covers","n_div","max_rhat","sd_mid_med","sd_lt_med","err"
1,101,"D1",1,4.04964808247388,3.78364605259181,4.30603745306203,0.522391400470217,1,0,1.01166924308686,NA,NA,""
2,102,"D1",1,4.13363268794099,3.86064939674651,4.40895508038185,0.548305683635338,1,0,1.0053581485442,NA,NA,""
3,103,"D1",1,4.09377289650781,3.85269871558053,4.35272941184811,0.500030696267585,1,0,1.00495218775272,NA,NA,""
4,104,"D1",1,4.01456451996548,3.70803386617449,4.25661641421789,0.548582548043397,1,0,1.00410254503914,NA,NA,""
5,105,"D1",1,4.04590062644054,3.82246111731366,4.28450946289089,0.462048345577223,1,0,1.00202295081133,NA,NA,""
6,106,"D1",1,4.03248554638352,3.80267407185786,4.28384386919903,0.481169797341166,1,0,1.00225208894947,NA,NA,""
7,107,"D1",1,3.8307079567342,3.58590209601362,4.0541780162581,0.468275920244479,1,0,1.027627814633,NA,NA,""
8,108,"D1",1,3.74856303535572,3.51120867211761,4.00841921991964,0.497210547802032,1,0,1.01308255872168,NA,NA,""
9,109,"D1",1,3.89519216439573,3.59990209433286,4.19083221367424,0.590930119341379,1,0,1.0089375285679,NA,NA,""
10,110,"D1",1,4.62421523482625,4.36503970037787,4.84067952094119,0.475639820563322,0,0,1.00645679844705,NA,NA,""
11,111,"D1",1,3.41316596634544,3.18687631746654,3.68313519166772,0.496258874201177,0,0,1.00300154096692,NA,NA,""
12,112,"D1",1,4.14913854679458,3.91580986192205,4.4473813654101,0.531571503488052,1,0,1.0093769462356,NA,NA,""
13,113,"D1",1,4.19189376489764,3.96225062996399,4.44621903217272,0.483968402208732,1,0,1.00839844061249,NA,NA,""
14,114,"D1",1,3.98538362686,3.71959203635682,4.23937761908759,0.519785582730773,1,0,1.0110781871685,NA,NA,""
15,115,"D1",1,4.09705396596417,3.82221429333284,4.35546794493446,0.533253651601621,1,0,1.02015414315046,NA,NA,""
16,116,"D1",1,3.85088495563297,3.60297005320038,4.09094749991295,0.487977446712572,1,0,1.00034441222986,NA,NA,""
17,117,"D1",1,3.75030577638451,3.51418479414365,4.01611496740409,0.501930173260444,1,0,1.01280594592231,NA,NA,""
18,118,"D1",1,4.05665594328661,3.7782427531883,4.29334104347688,0.515098290288581,1,0,1.01477416633646,NA,NA,""
19,119,"D1",1,4.2729050441449,3.99335606890924,4.54514606891371,0.551790000004468,1,0,1.01165119648357,NA,NA,""
20,120,"D1",1,4.15212928358748,3.91075568961368,4.42726583118976,0.516510141576077,1,0,1.01614945304367,NA,NA,""
1,101,"D2",1,3.97936026671769,3.61241193773564,4.3414859599874,0.729074022251755,1,0,1.05531086348195,0.23250623,NA,""
2,102,"D2",1,4.00340642057474,3.60924804273351,4.37921689661381,0.769968853880301,1,0,1.02249634314706,0.235481305,NA,""
3,103,"D2",1,4.00913995843425,3.69850781412898,4.37383276842705,0.675324954298078,1,0,1.04205547312897,0.212373885,NA,""
4,104,"D2",1,3.89654917003843,3.59857460253514,4.17450052971866,0.575925927183523,1,5,1.06945340379026,0.196808395,NA,""
5,105,"D2",1,3.92291856415373,3.56094979078143,4.30306739393247,0.742117603151038,1,0,1.04985242745581,0.217330925,NA,""
6,106,"D2",1,4.02113639957817,3.73952576103963,4.29408151716616,0.554555756126535,1,0,1.03526082883055,0.18817686,NA,""
7,107,"D2",1,3.7821924741268,3.47272656165864,4.10646393232157,0.633737370662929,1,0,1.0442596429799,0.25054316,NA,""
8,108,"D2",1,3.72327759978303,3.39269120230867,4.1334912625005,0.740800060191838,1,0,1.06111494147068,0.22951563,NA,""
9,109,"D2",1,3.83695443104128,3.47033294790833,4.22885767063449,0.758524722726157,1,0,1.03667556183003,0.26991313,NA,""
10,110,"D2",1,4.44302406584267,4.1285859703884,4.77129051816589,0.642704547777489,0,0,1.03551218447733,0.197428795,NA,""
11,111,"D2",1,3.49264907813667,3.19913450487416,3.79791360827606,0.598779103401907,0,1,1.04711009759534,0.248176425,NA,""
12,112,"D2",1,4.04715215879846,3.68445384760473,4.46602946953331,0.781575621928583,1,0,1.05953698481716,0.20647665,NA,""
13,113,"D2",1,4.17751969676188,3.73662768718423,4.53686785584463,0.800240168660394,1,1,1.05244656210565,0.213969765,NA,""
14,114,"D2",1,3.74399148611352,3.44947365031858,4.07234185507379,0.622868204755212,1,2,1.04830396855763,0.234464435,NA,""
15,115,"D2",1,4.04329771556112,3.69348894533818,4.34003101386162,0.64654206852344,1,9,1.09115782836947,0.203368595,NA,""
16,116,"D2",1,3.71970220510526,3.35681155997289,4.03102203389536,0.674210473922473,1,1,1.03422003847109,0.24059588,NA,""
17,117,"D2",1,3.65663015690835,3.42537592320292,4.00451428326866,0.579138360065737,1,1,1.12109823543512,0.24827711,NA,""
18,118,"D2",1,3.93815929422975,3.56766614065336,4.41245816331349,0.844792022660134,1,4,1.05071419129823,0.268029565,NA,""
19,119,"D2",1,4.21221661383966,3.73165589767561,4.64879248089008,0.917136583214469,1,0,1.22502772510781,0.22820066,NA,""
20,120,"D2",1,4.16109479105624,3.78813219812248,4.48598035674264,0.697848158620156,1,0,1.04870899304437,0.24244921,NA,""
1,101,"D3",1,3.92236779138556,3.54039415266603,4.27438376188966,0.733989609223626,1,24,1.09426051345228,0.233562465,0.039493969,""
2,102,"D3",1,3.97212152848528,3.56395166508492,4.38231094694329,0.818359281858371,1,69,1.1224617251035,0.242968335,0.13614325,""
3,103,"D3",1,4.02722630608293,3.62859250589515,4.38719023792208,0.758597732026929,1,8,1.02783884153306,0.20838114,0.055590243,""
